Project Name,Cluster Name,Project Type,City,County,State,Digester Type,Status,Year Operational,Animal/Farm Type(s), Cattle , Dairy , Poultry , Swine ,Co-Digestion, Biogas Generation Estimate (cu-ft/day) , Electricity Generated (kWh/yr) ,Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility, Total Emission Reductions (MTCO2e/yr) ,Awarded USDA Funding?
Pinnacle Dairy (CA) Digester,Aemetis Central,Farm Scale,Crows Landing,Stanislaus,CA,Covered Lagoon,Operational,2022,Dairy,," 2,054 ",,,," 101,796 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 19,419 ",
Pixley Biogas LLC Digester,,Centralized/Regional,Pixley,Tulare,CA,Mixed Plug Flow,Operational,2014,Dairy,," 2,500 ",,,Other Feedstocks,," 9,709,000 ",Cogeneration,,"4Creeks [System Design Engineer, Construction & Installation]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Maas Energy Works [Project Developer]; Regenis [Project Developer, System Designer, Construction & Installation]",," 30,495 ",Y
Pixley Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 11,209 ",,,,,,CNG,Yes,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 105,971 ",
Poplar Lane Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2023,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 61,452 ",
Rancho Sierra Vista Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 6,600 ",,,," 330,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 62,397 ",
Rancho Teresita Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 9,300 ",,,," 465,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 93,265 ",
Red Rock Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2021,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company,,
Rib-Arrow Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 18,908 ",
Ribeiro Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Rio Blanco Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2023,Dairy,," 4,500 ",,,," 225,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 42,543 ",
River Ranch Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 13,800 ",,,,,,CNG,,Maas Energy Works [Project Developer],SoCalGas," 130,466 ",
Riverbend Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 6,700 ",,,," 335,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 63,342 ",
Riverview Dairy (CA) Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 6,640 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 62,775 ",
Rob Van Grouw Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,,,,,,,,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],,,
Robert Vander Eyk Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2018,Dairy,," 2,655 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 25,101 ",
Rocking Horse Dairy Digester,CalBio Hanford,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2022,Dairy,,,,,,,,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],,,
Rockshar Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2022,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company,,
RuAnn Dairy Digester,,Farm Scale,Riverdale,Fresno,CA,Mixed Plug Flow,Construction,,Dairy,," 1,700 ",,,,,,Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer]",,,
S & S Dairy (Aemetis) Digester,Aemetis Central,Farm Scale,Ceres,Stanislaus,CA,Covered Lagoon,Operational,2023,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 18,908 ",
S & S Dairy (CA) Digester,CalBio West Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2020,Dairy,," 6,800 ",,,," 340,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 69,629 ",
Scheenstra Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 4,700 ",,,," 235,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 44,434 ",
Schott Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 2,200 ",,,," 110,000 ",,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 20,799 ",
Simoes Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 61,452 ",
Skyview Dairy Digester,CalBio Buttonwillow,Farm Scale,Shafter,Kern,CA,Covered Lagoon,Operational,2022,Dairy,," 4,000 ",,,," 200,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 37,816 ",
Sousa & Sousa Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 2,100 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 19,854 ",
Southern Cross Dairy (CA) Digester,CalBio Buttonwillow,Farm Scale,Buttonwillow,Kern,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Southpoint Ranch Dairy Digester,,Farm Scale,Madera,Madera,CA,Covered Lagoon,Operational,2023,Dairy,," 9,500 ",,,," 475,000 ",,Electricity,,California Bioenergy LLC [Project Developer],PG&E," 100,497 ",
Still Water Ranch Digester,,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2019,Dairy,," 10,600 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 100,213 ",
Straus Family Dairy Digester,,Farm Scale,Marshall,Marin,CA,Covered Lagoon,Operational,2004,Dairy,, 417 ,,,Dairy Processing Wastes," 14,832 "," 345,600 ",Cogeneration,,"Williams Engineering Associates [System Designer, System Design Engineer]",," 3,606 ",
T & C Louters Dairy Digester,,Farm Scale,Merced,Merced,CA,Covered Lagoon,Construction,2024,Dairy,, 600 ,,,,,,CNG,,,," 5,672 ",
T & W Dairy Digester,CalBio South Tulare,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2020,Dairy,," 10,400 ",,,," 520,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 103,664 ",
Top O' The Morn Farms Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Construction,2024,Dairy,," 2,000 ",,,,,,CNG,,California Bioenergy LLC [Project Developer],," 18,908 ",
Trilogy Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2020,Dairy,," 5,200 ",,,," 260,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 54,503 ",
Trinkler Dairy Digester,Aemetis Central,Farm Scale,Ceres,Stanislaus,CA,Covered Lagoon,Operational,2023,Dairy,," 5,200 ",,,," 260,000 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 39,990 ",
Troost Dairy Digester,Maas Merced-South,Farm Scale,Chowchilla,Madera,CA,Covered Lagoon,Construction,2024,Dairy,," 6,300 ",,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company," 49,734 ",Y
Udder Dairy Digester,CalBio West Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 2,100 ",,,," 105,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 19,854 ",
Valadao Dairy Digester,CalBio Hanford,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 3,300 ",,,," 165,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 31,198 ",
Van Beek Brothers Dairy Digester,,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 2,631 ",,,,," 5,439,007 ",Electricity,Yes,Maas Energy Works [Project Developer],Southern California Edison," 28,753 ",Y
Van Der Hoek Dairy Digester,Maas Five Points,Farm Scale,Helm,Fresno,CA,Covered Lagoon,Operational,2023,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 61,452 ",
Van der Kooi Dairy Digester,Maas Five Points,Farm Scale,Riverdale,Fresno,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 61,452 ",
Van Steyn Dairy Digester,,Farm Scale,Elk Grove,Sacramento,CA,Covered Lagoon,Operational,2015,Dairy,, 700 ,,,,,,Electricity,Yes,Maas Energy Works [Project Developer],SMUD," 3,931 ",Y
Van Warmerdam Dairy Digester,,Farm Scale,Galt,Sacramento,CA,Covered Lagoon,Operational,2013,Dairy,," 1,810 ",,,,," 2,190,000 ",Electricity; Cogeneration,,"Environmental Fabrics, Inc. [Construction & Installation, Biogas Membrane Supplier]; Maas Energy Works [Project Developer]",SMUD," 14,743 ",
Vander Poel Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 10,560 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 99,835 ",
Vander Woude Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2021,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company,,
Vanderham Dairy Digester,Maas Five Points,Farm Scale,Riverdale,Fresno,CA,Covered Lagoon,Operational,2022,Dairy,," 5,100 ",,,," 255,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 48,216 ",
Verwey-Hanford Dairy Digester,,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2016,Dairy,," 17,900 ",,,,,,Electricity,Yes,"Maas Energy Works [Project Developer, System Designer]",Pacific Gas and Electric Company," 159,675 ",
Verwey-Madera Dairy Digester,,Farm Scale,Madera,Madera,CA,Covered Lagoon,Operational,2017,Dairy,," 4,500 ",,,,,,Electricity,Yes,"Maas Energy Works [Project Developer, System Designer]",Pacific Gas and Electric Company," 46,091 ",
Vista Verde Dairy Digester,Maas Merced-South,Farm Scale,Chowchilla,Madera,CA,Covered Lagoon,Operational,2022,Dairy,," 3,200 ",,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company," 30,253 ",
Vlot Brothers Dairy Digester,,Farm Scale,Chowchilla,Madera,CA,Mixed Plug Flow,Construction,2023,Dairy,," 14,850 ",,,,,,Pipeline to Electricity,,"Biorem [Project Developer]; Brightmark [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",Pacific Gas and Electric,,
Western Sky Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2021,Dairy,," 10,300 ",,,," 515,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 97,377 ",
Whiteside Dairy Digester,CalBio Buttonwillow,Farm Scale,Wasco,Kern,CA,Covered Lagoon,Operational,2022,Dairy,," 4,000 ",,,," 200,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 37,816 ",
Wickstrom Jersey Farms Digester,Aemetis Central,Farm Scale,Hilmar,Merced,CA,Covered Lagoon,Operational,2024,Dairy,," 2,400 ",,,," 120,000 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 22,690 ",
Wilson Dairy Digester,Maas Five Points,Farm Scale,Riverdale,Fresno,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 61,452 ",
Wreden Ranch Dairy Digester,CalBio Hanford,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 6,300 ",,,," 315,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 64,902 ",
Christensen Farms Digester,,Farm Scale,Lamar,Prowers,CO,Complete Mix,Operational,1999,Swine,,,," 5,500 ",,,,Flared Full-time,,"Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 2,937 ",
Wolf Creek Dairy Digester,,Farm Scale,Windsor,Weld,CO,Mixed Plug Flow,Construction,2023,Dairy,," 7,100 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; WTE, LLC [Project Developer]",," 71,273 ",
Fort Hill Farms Digester,,Farm Scale,Thompson,Windham,CT,Complete Mix,Operational,2020,Dairy,, 430 ,,,Food Wastes,," 3,500,000 ",Cogeneration,,"Ag-Grid Energy LLC [Project Developer]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",Eversource," 3,440 ",
Freund Farm Digester,,Farm Scale,East Cannan,Litchfield,CT,Horizontal Plug Flow,Operational,1997,Dairy,, 250 ,,,," 14,000 ",,Boiler/Furnace fuel,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 2,568 ",Y
Hytone Farm Digester,,Farm Scale,Coventry,Tolland,CT,Complete Mix,Operational,2023,Dairy,, 375 ,,,Food Wastes,," 4,500,000 ",Electricity,,Ag-Grid Energy LLC [Project Developer],Eversource," 4,423 ",
Oakridge Dairy Digester,,Farm Scale,Ellington,Tolland,CT,,Construction,2022,Dairy,," 2,800 ",,,,,,Pipeline Gas,,"REV LNG [Project Developer, Construction & Installation]",Elizabethtown Gas," 3,260 ",
Alliance Dairy Digester,,Farm Scale,Trenton,Gilchrist,FL,Mixed Plug Flow,Operational,2012,Dairy,," 6,500 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 65,198 ",
Amelia Renewables LLC (Full Circle Dairy) Digester,,Farm Scale,Lee,Madison,FL,Mixed Plug Flow,Construction,2024,Dairy,," 3,200 ",,,,,,Pipeline Gas,,"Cavanaugh Solutions [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; FPU Renewables [Project Developer]",Chesapeake Utilities," 32,097 ",
Larson Family Farms Digester,,Multiple Farm/Facility,,Okeechobee,FL,Covered Lagoon,Operational,2021,Dairy,," 12,000 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 119,224 ",
Southern Cross Dairy (FL) Digester,,Farm Scale,O'Brien,Suwannee,FL,Mixed Plug Flow,Operational,2009,Cattle," 5,000 ",,,,,," 4,467,600 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 13,053 ",
University of Florida Dairy Research Unit Digester,,Research,Hague,Alachua,FL,Fixed Film/Attached Media,Operational,2000,Dairy,, 500 ,,,,,,Boiler/Furnace fuel,,,," 5,118 ",
UGA Double Bridges Farm Digester,,Research,Athens,Oglethorpe,GA,Unknown or Unspecified,Operational,2010,Swine,,,, 100 ,,,,Boiler/Furnace fuel,,University of Georgia (College of Agricultural and Environmental Sciences) [System Design Engineer],, 117 ,
"AgriReNew, Sievers Family Farms Digester",,Farm Scale,New Liberty,Scott,IA,Complete Mix,Operational,2013,Cattle," 2,400 ",,,,Agricultural Residues; Food Processing Wastes; Slaughterhouses; Other Feedstocks," 390,000 "," 6,742,081 ",Cogeneration,,"Organic Waste Systems (OWS), Inc. [Project Developer, System Designer, System Design Engineer]; Specialty Concrete Construction [Construction & Installation]","Alliant Energy, Inc."," 11,107 ",Y
"Amana Farms, Inc. Digester",,Farm Scale,Amana,Iowa,IA,Mixed Plug Flow,Operational,2008,Cattle," 1,250 ",,,,Other Feedstocks," 1,848,700 "," 22,776,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Amana Society Service Company," 17,408 ",Y
Boland Farm Digester,,Farm Scale,Williamsburg,Iowa,IA,Covered Lagoon,Operational,1998,Swine,,,," 3,000 ",,,,Flared Full-time,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 2,867 ",
Hoogland Dairy Digester,West Branch RNG,Farm Scale,Maurice,Sioux,IA,Complete Mix,Construction,2024,Dairy,," 3,000 ",,,,,,Pipeline Gas,,Novilla RNG [Project Developer],,,
Maassen Dairy Digester,West Branch RNG,Multiple Farm/Facility,Maurice,Sioux,IA,Complete Mix,Construction,2024,Dairy,," 5,050 ",,,,,,Pipeline Gas,,Novilla RNG [Project Developer],,,
Marshall Ridge Farms Digester,,Farm Scale,State Center,Marshall,IA,Complete Mix,Operational,2024,Dairy,," 8,000 ",,,,,,Pipeline Gas,,"Dynamic Group, LLC [Project Developer, System Designer, Construction & Installation]",," 80,966 ",
Meadowvale Dairy Digester,Gevo NW Iowa,Farm Scale,Rock Valley,Sioux,IA,Mixed Plug Flow,Operational,2022,Dairy,," 9,000 ",,,,,,CNG,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Gevo, Inc. [Project Developer]",,,
Rock River Jerseys Digester,Gevo NW Iowa,Farm Scale,Doon,Lyon,IA,Mixed Plug Flow,Operational,2022,Dairy,," 8,000 ",,,,,,CNG,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Gevo, Inc. [Project Developer]",,,
Top Deck Holsteins Digester,,Farm Scale,Westgate,Fayette,IA,Horizontal Plug Flow,Operational,2002,Dairy,, 700 ,,,,," 876,000 ",Cogeneration,,"Ray Crammond [System Designer, System Design Engineer]","Alliant Energy, Inc."," 2,844 ",
Winding Meadows Dairy Digester,Gevo NW Iowa,Farm Scale,Rock Valley,Sioux,IA,Mixed Plug Flow,Operational,2022,Dairy,," 2,100 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Gevo, Inc. [Project Developer]",," 21,254 ",
AgPower Jerome LLC - Double A Dairy Digester,,Farm Scale,Jerome,Jerome,ID,Mixed Plug Flow,Operational,2011,Dairy,," 15,000 ",,,,,,Pipeline Gas,Yes,"AgPower Group, LLC [Project Developer]; Camco [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",," 156,440 ",Y
Bettencourt - Rock Creek Dairy Complex Digester,,Multiple Farm/Facility,Filer,Twin Falls,ID,Complete Mix,Operational,2012,Dairy,," 8,900 ",,,,,,,Yes,Sevana Bioenergy [Project Developer],," 82,069 ",Y
Bettencourt Dairy B6 Farm Digester,,Farm Scale,Jerome,Jerome,ID,Complete Mix,Operational,2009,Dairy,," 7,200 ",,,,,,CNG,Yes,"Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]; Montauk Renewables [Project Developer]",," 66,393 ",
Big Sky West Dairy Digester,,Farm Scale,Gooding,Gooding,ID,Mixed Plug Flow,Operational,2008,Dairy,," 5,400 ",,,Agricultural Residues," 648,000 "," 9,500,000 ",Electricity,Yes,"AgPower Group, LLC [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Regenis [System Designer, Construction & Installation]",Idaho Power Company," 56,570 ",
Dry Creek Dairy Digester,,Farm Scale,Hansen,Twin Falls,ID,Mixed Plug Flow,Operational,2008,Dairy,," 10,000 ",,,,," 18,527,400 ",Electricity,Yes,"Cargill, Inc. [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Regenis [System Designer, Construction & Installation]",Idaho Power Company," 105,425 ",
Kettle Butte Dairy Digester,,Farm Scale,Roberts,Jefferson,ID,Complete Mix,Operational,2010,Dairy,," 5,500 ",,,,," 12,658,200 ",Cogeneration,Yes,"Cargill, Inc. [Project Developer, System Designer]; Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",Rocky Mountain Power," 59,744 ",
Millenkamp Dairy Digester,,Farm Scale,Jerome,Jerome,ID,Complete Mix,Construction,2023,Dairy,," 35,000 ",,,,,,Pipeline Gas,,Clean Energy Fuels Corp. [Project Developer],," 365,026 ",
Oak Valley Dairy 1 & 4 Compete Mix Digester,,Farm Scale,Burley,Cassia,ID,Complete Mix,Operational,2021,Dairy,,,,,,,,Pipeline Gas,,Maas Energy Works [Project Developer],,,
Oak Valley Dairy 1 & 4 Covered Lagoon Digester,,Farm Scale,Burley,Cassia,ID,Covered Lagoon,Operational,2021,Dairy,,,,,,,,Pipeline Gas,,Maas Energy Works [Project Developer],,,
Oak Valley Dairy 5 Complete Mix Digester,,Farm Scale,Burley,Cassia,ID,Complete Mix,Operational,2021,Dairy,,,,,,,,Pipeline Gas,,Maas Energy Works [Project Developer],,,
Oak Valley Dairy 5 Covered Lagoon Digester,,Farm Scale,Burley,Cassia,ID,Covered Lagoon,Operational,2021,Dairy,,,,,,,,Pipeline Gas,,Maas Energy Works [Project Developer],,,
Westpoint Dairy Digester - RNG,,Farm Scale,Wendell,Gooding,ID,,Construction,2008,Dairy,," 7,000 ",,,,,,,,,," 21,646 ",
Apex Pork Digester,,Farm Scale,Rio,Knox,IL,Covered Lagoon,Operational,1998,Swine,,,," 8,900 ",," 36,000 "," 315,360 ",Cogeneration,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 3,632 ",
"Hunter Haven Farms, Inc. Digester",,Farm Scale,Pearl City,Caroll,IL,Mixed Plug Flow,Operational,2005,Dairy,, 850 ,,,," 22,000 "," 1,533,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Commonwealth Edison," 3,975 ",Y
"BioTown Ag, Inc. Digester - Power Generation",,Farm Scale,Reynolds,White,IN,Mixed Plug Flow,Operational,2011,Cattle; Swine," 4,500 ",,, 800 ,Other Feedstocks,," 42,000,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Northern Indiana Power Service Co.," 34,483 ",Y
"BioTown Ag, Inc. Digester - RNG",,Farm Scale,Reynolds,White,IN,Mixed Plug Flow,Operational,2022,Dairy,," 9,240 ",,,Food Wastes,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 10,712 ",
Bos Dairy Digester,,Farm Scale,Fair Oaks,Jasper,IN,Mixed Plug Flow,Operational,2005,Dairy,," 3,600 ",,,,,,CNG,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 31,855 ",
Curtiss Creek Dairy Digester 1,,Farm Scale,Fair Oaks,Jasper,IN,Mixed Plug Flow,Operational,2008,Dairy,," 12,000 ",,,," 1,200,000 "," 7,818,300 ",Cogeneration; CNG,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Jasper County REMC," 45,787 ",
Curtiss Creek Dairy Digester 2,,Farm Scale,Fair Oaks,Jasper,IN,Mixed Plug Flow,Operational,2018,Dairy,," 4,300 ",,,," 430,000 ",,CNG,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 14,409 ",
Green Cow Power LLC Digester,,Centralized/Regional,Goshen,Elkhart,IN,Mixed Plug Flow,Operational,2015,Dairy,," 1,500 ",,,Food Processing Wastes," 907,200 ",,Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",NIPSCO," 22,832 ",
Herrema Dairy Digester,,Farm Scale,Fair Oaks,Jasper,IN,Mixed Plug Flow,Operational,2002,Dairy,," 5,250 ",,,," 450,000 ",,CNG,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 17,592 ",
Hidden View Digester,,Farm Scale,Rensselaer,Jasper,IN,Mixed Plug Flow,Operational,2007,Dairy,," 4,000 ",,,,," 7,073,700 ",Cogeneration,Yes,"ClimeCo Corporation [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",," 40,439 ",
Homestead Dairy Digester,,Farm Scale,Plymouth,Marshall,IN,Complete Mix,Operational,2013,Dairy,," 2,100 ",,,"Fats, Oils, Greases",," 7,446,000 ",Electricity,Yes,"Homestead Green Energy [Project Developer]; Moore & Bruggink, Inc. [System Designer, System Design Engineer]; Specialty Concrete Construction [Construction & Installation]",NIPSCO," 23,893 ",
Nature's Methane - Huntington Digester,,Multiple Farm/Facility,Huntington,Huntington,IN,Mixed Plug Flow,Construction,2022,Dairy,," 4,500 ",,,,,,CNG,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Star BioEnergy [Project Developer]",,,
Oak Basin Dairy Digester,,Farm Scale,Rensselaer,Jasper,IN,Mixed Plug Flow,Operational,2023,Dairy,," 3,611 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Ozinga [Project Developer]",," 36,139 ",
Waste No Energy Digester,,Centralized/Regional,Monticello,White,IN,Complete Mix,Operational,2013,Cattle; Swine, 300 ,,," 4,000 ","Agricultural Residues; Fats, Oils, Greases; Food Processing Wastes; Food Wastes"," 408,000 "," 8,370,000 ",Cogeneration,,"CG Schmidt, LLC. [Construction & Installation]; U.S. Biogas LLC [Project Developer, System Designer, System Design Engineer]",Northern Indiana Power Service Co.," 7,725 ",Y
Windy Ridge Dairy Digester,,Farm Scale,Fair Oaks,Jasper,IN,Mixed Plug Flow,Operational,2006,Dairy,," 7,000 ",,,," 840,000 ",,CNG,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 61,940 ",
High Plains Ponderosa Dairy Digester,,Farm Scale,Plains,Meade,KS,Covered Lagoon,Operational,2023,Dairy,," 16,000 ",,,,,,CNG,,Shell Energy North America [Project Developer],," 151,056 ",
